Period,Last_Period_Sales_Qty,Period_Price,Period_Discount,Period_Holiday,Period_Sales_Qty
1,330,145,0.75,3,300
2,300,160,0.65,1,260
3,260,160,0.75,2,250
4,250,160,0.9,0,170
5,170,160,0.95,1,140
6,140,180,0.75,1,190
7,190,180,0.8,3,240
8,240,180,0.9,1,150
9,150,180,1,1,90
10,90,195,0.75,2,210
11,210,195,0.95,1,110
12,110,210,0.9,1,120
13,120,210,0.7,1,160
14,160,210,1,0,50
15,50,195,1,0,80
16,80,195,0.95,1,120
17,120,210,1,0,50
18,50,195,0.9,1,140
19,140,195,0.8,1,180
20,180,195,0.7,0,160
21,160,210,0.9,1,100
22,100,195,0.85,1,150
23,150,180,0.95,1,140
24,140,180,0.95,0,120
25,120,180,0.85,1,180
26,180,180,0.75,0,130
27,130,180,0.7,2,240
28,240,160,1,0,90
29,90,160,0.9,2,210
30,210,160,0.8,1,190
31,190,160,0.7,1,240
32,240,145,0.9,1,210
33,210,145,0.75,1,240
34,240,145,0.7,2,300
35,300,145,0.8,3,280
36,280,145,0.95,1,150
37,150,160,0.75,1,220
38,220,160,0.85,3,250
39,250,160,0.95,0,110
40,110,160,1,1,120
41,120,180,0.7,3,270
42,270,180,0.85,0,130
43,130,180,0.95,1,110
44,110,195,0.7,1,190
45,190,195,0.9,2,170
46,170,195,1,1,70
47,70,210,0.8,2,140
48,140,195,0.95,0,100
49,100,210,0.8,2,130
50,130,210,0.7,1,150
51,150,195,1,0,50
52,50,195,0.9,1,130
53,130,195,0.95,2,160
54,160,195,0.75,2,210
55,210,195,0.85,2,180
56,180,195,0.65,3,280
57,280,180,1,0,80
58,80,195,0.75,1,170
59,170,195,0.8,1,170
60,170,195,0.65,2,260
61,260,180,0.85,2,210
62,210,180,0.8,2,210
63,210,180,0.8,1,190
64,190,180,0.7,1,220
65,220,160,0.95,1,170
66,170,160,0.9,1,180
67,180,160,0.85,4,280
68,280,160,0.7,1,220
69,220,145,0.9,1,210
70,210,145,0.75,2,290
71,290,145,0.65,3,330
72,330,145,0.85,1,230
73,230,145,0.9,2,230
74,230,145,0.8,0,150
75,150,145,1,1,120
76,120,160,0.8,3,270
77,270,160,0.95,0,120
78,120,180,0.65,2,250
79,250,180,0.7,2,250
80,250,180,0.8,1,170
81,170,180,0.85,3,230
82,230,180,0.9,2,170
83,170,180,1,0,80
84,80,195,0.7,2,220
85,220,180,0.9,0,100
86,100,180,0.85,0,160
87,160,180,0.85,1,170
88,170,160,1,1,120
89,120,180,0.65,2,260
90,260,180,0.75,2,230
91,230,180,0.75,1,190
92,190,180,0.65,3,300
93,300,145,1,0,90
94,90,145,0.85,1,240
95,240,145,0.7,4,350
96,350,145,0.8,1,220
97,220,145,0.95,0,120
98,120,160,0.65,2,280
99,280,145,0.95,2,180
100,180,145,0.85,2,270
101,270,160,0.75,2,240
102,240,160,0.9,2,220
103,220,160,0.9,1,200
104,200,180,0.65,3,290
105,290,180,0.75,1,190
106,190,180,0.85,2,200
107,200,195,0.75,2,220
108,220,195,0.95,2,120
109,120,195,0.9,1,140
110,140,195,0.75,2,220
111,220,195,0.7,0,140
112,140,195,1,0,60
113,60,210,0.7,1,180
114,180,210,0.9,1,110
115,110,195,0.95,0,60
116,60,195,0.65,3,270
117,270,180,0.95,1,130
118,130,180,0.85,0,100
119,100,180,0.75,2,210
120,210,180,0.65,2,260
121,260,160,1,0,70
122,70,145,0.75,1,240
123,240,145,0.8,0,170
124,170,145,0.8,3,280
125,280,145,0.95,0,110
126,110,145,1,0,100
127,100,160,0.7,1,250
128,250,160,0.8,1,210
129,210,160,0.9,0,110
130,110,160,0.95,0,90
131,90,180,0.65,2,280
132,280,180,0.7,3,280
133,280,180,0.8,2,220
134,220,180,0.85,3,240
135,240,180,1,0,60
136,60,195,0.7,2,230
137,230,195,0.9,1,130
138,130,210,0.7,1,130
139,130,210,0.9,1,130
140,130,210,1,0,70
141,70,195,0.95,1,100
142,100,195,0.8,1,170
143,170,195,0.65,2,240
144,240,180,0.95,0,90
145,90,180,0.9,0,120
146,120,180,0.85,0,120
147,120,180,0.8,1,170
148,170,160,0.95,1,130
149,130,160,0.9,2,220
150,220,160,0.65,2,290
151,290,145,0.95,2,180
152,180,145,0.9,1,190
153,190,145,0.85,1,220
154,220,145,0.75,2,280
155,280,145,0.65,2,300
156,300,145,0.7,4,330
157,330,145,0.85,2,260
158,260,145,0.9,2,230
159,230,145,1,1,120
160,120,160,0.65,1,250
161,250,160,0.75,1,230
162,230,160,0.85,3,260
163,260,160,0.9,1,170
164,170,145,0.95,1,140
165,140,160,0.7,1,230
166,230,160,0.75,2,260
167,260,160,0.8,3,280
168,280,160,0.9,1,190
169,190,160,0.9,2,200
170,200,160,0.95,1,130
171,130,160,1,1,110
172,110,160,0.75,2,240
173,240,180,0.7,1,220
174,220,160,1,1,110
175,110,180,0.75,1,200
176,200,180,0.8,3,240
177,240,180,0.85,1,170
178,170,180,0.9,2,180
179,180,180,1,0,70
180,70,195,0.75,1,170
181,170,195,0.85,2,180
182,180,195,0.95,1,110
183,110,210,0.8,2,160
184,160,210,1,0,40
185,40,195,1,0,60
186,60,210,0.8,2,170
187,170,195,1,1,80
188,80,195,0.8,1,160
189,160,195,0.9,2,180
190,180,195,0.85,1,150
191,150,180,1,1,120
192,120,195,0.7,1,200
193,200,180,0.8,1,170
194,170,180,0.85,1,170
195,170,180,0.9,1,170
196,170,180,0.95,1,120
197,120,180,0.7,2,250
198,250,180,0.75,0,150
199,150,180,0.7,2,260
200,260,160,0.85,4,290
201,290,160,0.95,0,110
202,110,145,0.7,2,300
203,300,145,0.8,1,230
204,230,145,0.75,3,310
205,310,145,0.9,1,210
206,210,145,0.65,3,330
207,330,145,0.85,1,230
